Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Cost,Category
Cod,3 1/2 oz.,100,170,28,5,0,0,0,1.76,"Fish, Seafood"
Crab meat,3 oz.,85,90,14,2,0,0,1,3.74,"Fish, Seafood"
Fish sticks fried,5,112,200,19,10,5,0,8,1.48,"Fish, Seafood"
Flounder,3 1/2 oz.,100,200,30,8,0,0,0,2.2,"Fish, Seafood"
Haddock,3 oz.,85,135,16,5,4,0,6,1.87,"Fish, Seafood"
Halibut,3 1/2 oz.,100,182,26,8,0,0,0,4.4,"Fish, Seafood"
Herring,1 small,100,211,22,13,0,0,0,1.76,"Fish, Seafood"
Lobster,aver.,100,92,18,1,0,0,0,4.4,"Fish, Seafood"
Mackerel,3 oz.,85,155,18,9,0,0,0,1.12,"Fish, Seafood"
Oysters,6-8 med.,230,231,232,233,234,235,236,10,"Fish, Seafood"
Oyster stew,1 cup,85,125,19,6,1,0,0,1.5,"Fish, Seafood"
Salmon,3 oz.,85,120,17,5,1,0,0,2.81,"Fish, Seafood"
Sardines,3 oz.,85,180,22,9,4,0,0,1.42,"Fish, Seafood"
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,4.4,"Fish, Seafood"
Shad,3 oz.,85,170,20,10,0,0,0,1.31,"Fish, Seafood"
Shrimp,3 oz.,85,110,23,1,0,0,0,2.24,"Fish, Seafood"
Swordfish,1 steak,100,180,27,6,0,0,0,4.4,"Fish, Seafood"
Tuna,3 oz.,85,170,25,7,3,0,0,4.68,"Fish, Seafood"
Artichoke,1 large,100,44,2,0,0,2,10,0.88,Vegetables A-E
Asparagus,6 spears,96,18,1,0,0,0.5,3,0.84,Vegetables A-E
Beans,1 cup,125,25,1,0,0,0.8,6,0.84,Vegetables A-E
Lima,1 cup,160,140,8,0,0,3,24,1.4,Vegetables A-E
"Navy, baked with pork",3/4 cup,200,250,11,6,6,2,37,0.94,Vegetables A-E
Red kidney,1 cup,260,230,15,1,0,2.5,42,0.86,Vegetables A-E
Bean sprouts,1 cup,50,17,1,0,0,0.3,3,0.33,Vegetables A-E
Beet greens,1 cup,100,27,2,0,0,1.4,6,1.2,Vegetables A-E
Beetroots,1 cup,165,1,12,0,0,0,0.8,0.9,Vegetables A-E
Broccoli,1 cup,150,45,5,0,0,1.9,8,0.83,Vegetables A-E
Brussels sprouts,1 cup,130,60,6,0,0,1.7,12,1.16,Vegetables A-E
Sauerkraut,1 cup,150,32,1,0,0,1.2,7,0.74,Vegetables A-E
Steamed cabbage,1 cup,170,40,2,0,0,1.3,9,1.32,Vegetables A-E
Carrots,1 cup,150,45,1,0,0,0.9,10,0.5,Vegetables A-E
"Raw, grated",1 cup,110,45,1,0,0,1.2,10,0.48,Vegetables A-E
"Strips, from raw",1 mad.,50,20,0,0,0,0.5,5,1,Vegetables A-E
Cauliflower,1 cup,120,30,3,0,0,1,6,0.9,Vegetables A-E
Celery,1 cup,100,20,1,0,0,1,4,1.5,Vegetables A-E
Stalk raw,1 large,40,5,1,0,0,0.3,1,1.5,Vegetables A-E
Chard steamed,1 cup,150,30,2,0,0,1.4,7,0.9,Vegetables A-E
Collards,1 cup,150,51,5,0,0,2,8,3.57,Vegetables A-E
Corn,1 ear,100,92,3,1,0,0.8,21,0.026,Vegetables A-E
cooked or canned,1 cup,200,170,5,0,0,1.6,41,0.75,Vegetables A-E
Cucumbers,8,50,6,0,0,0,0.2,1,1,Vegetables A-E
Dandelion greens,1 cup,180,80,5,1,0,3.2,16,1.5,Vegetables A-E
Eggplant,1 cup,180,30,2,0,0,1,9,0.3,Vegetables A-E
Endive,2 oz.,57,10,1,0,0,0.6,2,1,Vegetables A-E
Kale,1 cup,110,45,4,1,0,0.9,8,1,Vegetables F-P
Kohlrabi,1 cup,140,40,2,0,0,1.5,9,1,Vegetables F-P
"Lambs quarters, steamed",1 cup,150,48,5,0,0,3.2,7,1,Vegetables F-P
Lentils,1 cup,200,212,15,0,0,2.4,38,1,Vegetables F-P
Lettuce,1/4 head,100,14,1,0,0,0.5,2,1,Vegetables F-P
